year,name,offense,arrest
2011,New York,42635,69797
2012,New York,84405,145333
2013,New York,177190,204992
2014,New York,283305,259328
2015,New York,390035,314866
2016,New York,488175,368492
2017,New York,575005,420436
2018,New York,655070,468037
2019,New York,741385,511026
2020,New York,824310,540962
2011,Texas,143030,348050
2012,Texas,294860,678207
2013,Texas,453600,975535
2014,Texas,608380,1247489
2015,Texas,767785,1524190
2016,Texas,933940,1799629
2017,Texas,1093880,2052912
2018,Texas,1235420,2301040
2019,Texas,1380340,2516665
2020,Texas,1514095,2667096
2011,California,271300,396490
2012,California,553355,791059
2013,California,821460,1168751
2014,California,1064710,1555375
2015,California,1328635,1943366
2016,California,1602495,2315562
2017,California,1885540,2694696
2018,California,2157140,3077667
2019,California,2417405,3435053
2020,California,2640870,3715065
