,state,CC,Region
0,Alabama,-0.805651754,South
1,Alaska,0.523936154,West
2,Arizona,-0.66200388,West
3,Arkansas,-0.334745279,South
4,California,0.553852389,West
5,Colorado,0.839778173,West
6,Connecticut,-0.731952586,Northeast
7,Delaware,-0.186746227,South
8,District of Columbia,-0.402485309,South
9,Florida,-0.766906288,South
10,Georgia,-0.273235386,South
11,Hawaii,-0.144814147,West
12,Idaho,-0.647009718,West
13,Illinois,-0.854000177,Midwest
14,Indiana,-0.645226022,Midwest
15,Iowa,-0.821875527,Midwest
16,Kansas,-0.796207838,Midwest
17,Kentucky,-0.850061868,South
18,Louisiana,0.063197719,South
19,Maine,-0.261819428,Northeast
20,Maryland,-0.587491567,South
21,Massachusetts,-0.880157759,Northeast
22,Michigan,-0.690914519,Midwest
23,Minnesota,-0.855247174,Midwest
24,Mississippi,-0.059265661,South
25,Missouri,-0.842428653,Midwest
26,Montana,0.588240869,West
27,Nebraska,-0.839446082,Midwest
28,Nevada,-0.123221675,West
29,New Hampshire,-0.896727402,Northeast
30,New Jersey,-0.762530314,Northeast
31,New Mexico,-0.079508072,West
32,New York,-0.306932929,Northeast
33,North Carolina,-0.42850809,South
34,North Dakota,-0.040389865,Midwest
35,Ohio,-0.730738899,Midwest
36,Oklahoma,-0.216933686,South
37,Oregon,-0.095468993,West
38,Pennsylvania,-0.931064891,Northeast
39,Rhode Island,-0.81157882,Northeast
40,South Carolina,-0.345338868,South
41,South Dakota,0.556281553,Midwest
42,Tennessee,-0.159665226,South
43,Texas,-0.766603584,South
44,Utah,-0.701622138,West
45,Vermont,-0.569461214,Northeast
46,Virginia,-0.404247539,South
47,Washington,-0.141224896,West
48,West Virginia,-0.197083131,South
49,Wisconsin,-0.707621176,Midwest
50,Wyoming,0.00108915,West
