areaCode,areaName,areaType,date,hospitalCases
E40000003,London,nhsRegion,2021-10-08,885
E40000003,London,nhsRegion,2021-10-07,884
E40000003,London,nhsRegion,2021-10-06,904
E40000003,London,nhsRegion,2021-10-05,925
E40000003,London,nhsRegion,2021-10-04,934
E40000003,London,nhsRegion,2021-10-03,906
E40000003,London,nhsRegion,2021-10-02,894
E40000003,London,nhsRegion,2021-10-01,927
E40000003,London,nhsRegion,2021-09-30,948
E40000003,London,nhsRegion,2021-09-29,983
E40000003,London,nhsRegion,2021-09-28,1001
E40000003,London,nhsRegion,2021-09-27,999
E40000003,London,nhsRegion,2021-09-26,990
E40000003,London,nhsRegion,2021-09-25,984
E40000003,London,nhsRegion,2021-09-24,1000
E40000003,London,nhsRegion,2021-09-23,1013
E40000003,London,nhsRegion,2021-09-22,1056
E40000003,London,nhsRegion,2021-09-21,1077
E40000003,London,nhsRegion,2021-09-20,1122
E40000003,London,nhsRegion,2021-09-19,1134
E40000003,London,nhsRegion,2021-09-18,1124
E40000003,London,nhsRegion,2021-09-17,1153
E40000003,London,nhsRegion,2021-09-16,1179
E40000003,London,nhsRegion,2021-09-15,1214
E40000003,London,nhsRegion,2021-09-14,1276
E40000003,London,nhsRegion,2021-09-13,1253
E40000003,London,nhsRegion,2021-09-12,1214
E40000003,London,nhsRegion,2021-09-11,1209
E40000003,London,nhsRegion,2021-09-10,1225
E40000003,London,nhsRegion,2021-09-09,1190
E40000003,London,nhsRegion,2021-09-08,1214
E40000003,London,nhsRegion,2021-09-07,1211
E40000003,London,nhsRegion,2021-09-06,1177
E40000003,London,nhsRegion,2021-09-05,1143
E40000003,London,nhsRegion,2021-09-04,1134
E40000003,London,nhsRegion,2021-09-03,1154
E40000003,London,nhsRegion,2021-09-02,1202
E40000003,London,nhsRegion,2021-09-01,1235
E40000003,London,nhsRegion,2021-08-31,1255
E40000003,London,nhsRegion,2021-08-30,1192
E40000003,London,nhsRegion,2021-08-29,1150
E40000003,London,nhsRegion,2021-08-28,1154
E40000003,London,nhsRegion,2021-08-27,1189
E40000003,London,nhsRegion,2021-08-26,1189
E40000003,London,nhsRegion,2021-08-25,1172
E40000003,London,nhsRegion,2021-08-24,1178
E40000003,London,nhsRegion,2021-08-23,1199
E40000003,London,nhsRegion,2021-08-22,1138
E40000003,London,nhsRegion,2021-08-21,1126
E40000003,London,nhsRegion,2021-08-20,1112
E40000003,London,nhsRegion,2021-08-19,1098
E40000003,London,nhsRegion,2021-08-18,1090
E40000003,London,nhsRegion,2021-08-17,1074
E40000003,London,nhsRegion,2021-08-16,1086
E40000003,London,nhsRegion,2021-08-15,1036
E40000003,London,nhsRegion,2021-08-14,1008
E40000003,London,nhsRegion,2021-08-13,1025
E40000003,London,nhsRegion,2021-08-12,1016
E40000003,London,nhsRegion,2021-08-11,1041
E40000003,London,nhsRegion,2021-08-10,1068
E40000003,London,nhsRegion,2021-08-09,1077
E40000003,London,nhsRegion,2021-08-08,1046
E40000003,London,nhsRegion,2021-08-07,1026
E40000003,London,nhsRegion,2021-08-06,1044
E40000003,London,nhsRegion,2021-08-05,1027
E40000003,London,nhsRegion,2021-08-04,1042
E40000003,London,nhsRegion,2021-08-03,1084
E40000003,London,nhsRegion,2021-08-02,1157
E40000003,London,nhsRegion,2021-08-01,1023
E40000003,London,nhsRegion,2021-07-31,1034
E40000003,London,nhsRegion,2021-07-30,1029
E40000003,London,nhsRegion,2021-07-29,935
E40000003,London,nhsRegion,2021-07-28,1023
E40000003,London,nhsRegion,2021-07-27,1001
E40000003,London,nhsRegion,2021-07-26,957
E40000003,London,nhsRegion,2021-07-25,890
E40000003,London,nhsRegion,2021-07-24,852
E40000003,London,nhsRegion,2021-07-23,794
E40000003,London,nhsRegion,2021-07-22,735
E40000003,London,nhsRegion,2021-07-21,713
E40000003,London,nhsRegion,2021-07-20,662
E40000003,London,nhsRegion,2021-07-19,647
E40000003,London,nhsRegion,2021-07-18,574
E40000003,London,nhsRegion,2021-07-17,590
E40000003,London,nhsRegion,2021-07-16,583
E40000003,London,nhsRegion,2021-07-15,575
E40000003,London,nhsRegion,2021-07-14,540
E40000003,London,nhsRegion,2021-07-13,514
E40000003,London,nhsRegion,2021-07-12,514
E40000003,London,nhsRegion,2021-07-11,467
E40000003,London,nhsRegion,2021-07-10,440
E40000003,London,nhsRegion,2021-07-09,435
E40000003,London,nhsRegion,2021-07-08,411
E40000003,London,nhsRegion,2021-07-07,397
E40000003,London,nhsRegion,2021-07-06,381
E40000003,London,nhsRegion,2021-07-05,364
E40000003,London,nhsRegion,2021-07-04,331
E40000003,London,nhsRegion,2021-07-03,318
E40000003,London,nhsRegion,2021-07-02,323
E40000003,London,nhsRegion,2021-07-01,329
E40000003,London,nhsRegion,2021-06-30,314
E40000003,London,nhsRegion,2021-06-29,301
E40000003,London,nhsRegion,2021-06-28,302
E40000003,London,nhsRegion,2021-06-27,243
E40000003,London,nhsRegion,2021-06-26,266
E40000003,London,nhsRegion,2021-06-25,286
E40000003,London,nhsRegion,2021-06-24,286
E40000003,London,nhsRegion,2021-06-23,280
E40000003,London,nhsRegion,2021-06-22,300
E40000003,London,nhsRegion,2021-06-21,303
E40000003,London,nhsRegion,2021-06-20,272
E40000003,London,nhsRegion,2021-06-19,286
E40000003,London,nhsRegion,2021-06-18,289
E40000003,London,nhsRegion,2021-06-17,300
E40000003,London,nhsRegion,2021-06-16,277
E40000003,London,nhsRegion,2021-06-15,289
E40000003,London,nhsRegion,2021-06-14,285
E40000003,London,nhsRegion,2021-06-13,261
E40000003,London,nhsRegion,2021-06-12,250
E40000003,London,nhsRegion,2021-06-11,262
E40000003,London,nhsRegion,2021-06-10,266
E40000003,London,nhsRegion,2021-06-09,270
E40000003,London,nhsRegion,2021-06-08,249
E40000003,London,nhsRegion,2021-06-07,252
E40000003,London,nhsRegion,2021-06-06,237
E40000003,London,nhsRegion,2021-06-05,234
E40000003,London,nhsRegion,2021-06-04,247
E40000003,London,nhsRegion,2021-06-03,238
E40000003,London,nhsRegion,2021-06-02,241
E40000003,London,nhsRegion,2021-06-01,236
E40000003,London,nhsRegion,2021-05-31,234
E40000003,London,nhsRegion,2021-05-30,233
E40000003,London,nhsRegion,2021-05-29,235
E40000003,London,nhsRegion,2021-05-28,234
E40000003,London,nhsRegion,2021-05-27,234
E40000003,London,nhsRegion,2021-05-26,238
E40000003,London,nhsRegion,2021-05-25,242
E40000003,London,nhsRegion,2021-05-24,244
E40000003,London,nhsRegion,2021-05-23,236
E40000003,London,nhsRegion,2021-05-22,233
E40000003,London,nhsRegion,2021-05-21,254
E40000003,London,nhsRegion,2021-05-20,248
E40000003,London,nhsRegion,2021-05-19,241
E40000003,London,nhsRegion,2021-05-18,245
E40000003,London,nhsRegion,2021-05-17,259
E40000003,London,nhsRegion,2021-05-16,261
E40000003,London,nhsRegion,2021-05-15,258
E40000003,London,nhsRegion,2021-05-14,251
E40000003,London,nhsRegion,2021-05-13,266
E40000003,London,nhsRegion,2021-05-12,275
E40000003,London,nhsRegion,2021-05-11,281
E40000003,London,nhsRegion,2021-05-10,281
E40000003,London,nhsRegion,2021-05-09,274
E40000003,London,nhsRegion,2021-05-08,275
E40000003,London,nhsRegion,2021-05-07,272
E40000003,London,nhsRegion,2021-05-06,283
E40000003,London,nhsRegion,2021-05-05,284
E40000003,London,nhsRegion,2021-05-04,292
E40000003,London,nhsRegion,2021-05-03,316
E40000003,London,nhsRegion,2021-05-02,308
E40000003,London,nhsRegion,2021-05-01,299
E40000003,London,nhsRegion,2021-04-30,315
E40000003,London,nhsRegion,2021-04-29,339
E40000003,London,nhsRegion,2021-04-28,353
E40000003,London,nhsRegion,2021-04-27,368
E40000003,London,nhsRegion,2021-04-26,376
E40000003,London,nhsRegion,2021-04-25,375
E40000003,London,nhsRegion,2021-04-24,403
E40000003,London,nhsRegion,2021-04-23,418
E40000003,London,nhsRegion,2021-04-22,423
E40000003,London,nhsRegion,2021-04-21,453
E40000003,London,nhsRegion,2021-04-20,439
E40000003,London,nhsRegion,2021-04-19,460
E40000003,London,nhsRegion,2021-04-18,467
E40000003,London,nhsRegion,2021-04-17,476
E40000003,London,nhsRegion,2021-04-16,501
E40000003,London,nhsRegion,2021-04-15,498
E40000003,London,nhsRegion,2021-04-14,513
E40000003,London,nhsRegion,2021-04-13,521
E40000003,London,nhsRegion,2021-04-12,520
E40000003,London,nhsRegion,2021-04-11,520
E40000003,London,nhsRegion,2021-04-10,538
E40000003,London,nhsRegion,2021-04-09,561
E40000003,London,nhsRegion,2021-04-08,569
E40000003,London,nhsRegion,2021-04-07,577
E40000003,London,nhsRegion,2021-04-06,601
E40000003,London,nhsRegion,2021-04-05,636
E40000003,London,nhsRegion,2021-04-04,637
E40000003,London,nhsRegion,2021-04-03,630
E40000003,London,nhsRegion,2021-04-02,652
E40000003,London,nhsRegion,2021-04-01,668
E40000003,London,nhsRegion,2021-03-31,689
E40000003,London,nhsRegion,2021-03-30,717
E40000003,London,nhsRegion,2021-03-29,733
E40000003,London,nhsRegion,2021-03-28,737
E40000003,London,nhsRegion,2021-03-27,742
E40000003,London,nhsRegion,2021-03-26,799
E40000003,London,nhsRegion,2021-03-25,811
E40000003,London,nhsRegion,2021-03-24,840
E40000003,London,nhsRegion,2021-03-23,876
E40000003,London,nhsRegion,2021-03-22,922
E40000003,London,nhsRegion,2021-03-21,928
E40000003,London,nhsRegion,2021-03-20,941
E40000003,London,nhsRegion,2021-03-19,986
E40000003,London,nhsRegion,2021-03-18,1023
E40000003,London,nhsRegion,2021-03-17,1082
E40000003,London,nhsRegion,2021-03-16,1138
E40000003,London,nhsRegion,2021-03-15,1185
E40000003,London,nhsRegion,2021-03-14,1181
E40000003,London,nhsRegion,2021-03-13,1190
E40000003,London,nhsRegion,2021-03-12,1273
E40000003,London,nhsRegion,2021-03-11,1335
E40000003,London,nhsRegion,2021-03-10,1400
E40000003,London,nhsRegion,2021-03-09,1481
E40000003,London,nhsRegion,2021-03-08,1551
E40000003,London,nhsRegion,2021-03-07,1562
E40000003,London,nhsRegion,2021-03-06,1618
E40000003,London,nhsRegion,2021-03-05,1723
E40000003,London,nhsRegion,2021-03-04,1821
E40000003,London,nhsRegion,2021-03-03,1861
E40000003,London,nhsRegion,2021-03-02,1932
E40000003,London,nhsRegion,2021-03-01,2018
E40000003,London,nhsRegion,2021-02-28,1828
E40000003,London,nhsRegion,2021-02-27,2102
E40000003,London,nhsRegion,2021-02-26,2253
E40000003,London,nhsRegion,2021-02-25,2371
E40000003,London,nhsRegion,2021-02-24,2503
E40000003,London,nhsRegion,2021-02-23,2490
E40000003,London,nhsRegion,2021-02-22,2737
E40000003,London,nhsRegion,2021-02-21,2734
E40000003,London,nhsRegion,2021-02-20,2803
E40000003,London,nhsRegion,2021-02-19,3048
E40000003,London,nhsRegion,2021-02-18,3059
E40000003,London,nhsRegion,2021-02-17,3292
E40000003,London,nhsRegion,2021-02-16,3500
E40000003,London,nhsRegion,2021-02-15,3603
E40000003,London,nhsRegion,2021-02-14,3595
E40000003,London,nhsRegion,2021-02-13,3562
E40000003,London,nhsRegion,2021-02-12,3882
E40000003,London,nhsRegion,2021-02-11,4079
E40000003,London,nhsRegion,2021-02-10,4279
E40000003,London,nhsRegion,2021-02-09,4574
E40000003,London,nhsRegion,2021-02-08,4743
E40000003,London,nhsRegion,2021-02-07,4729
E40000003,London,nhsRegion,2021-02-06,4787
E40000003,London,nhsRegion,2021-02-05,5066
E40000003,London,nhsRegion,2021-02-04,5212
E40000003,London,nhsRegion,2021-02-03,5462
E40000003,London,nhsRegion,2021-02-02,5723
E40000003,London,nhsRegion,2021-02-01,5881
E40000003,London,nhsRegion,2021-01-31,5654
E40000003,London,nhsRegion,2021-01-30,5918
E40000003,London,nhsRegion,2021-01-29,6064
