areaCode,areaName,areaType,date,uniqueCasePositivityBySpecimenDateRollingSum
E12000001,North East,region,2021-11-11,10.6
E12000001,North East,region,2021-11-10,10.3
E12000001,North East,region,2021-11-09,10.3
E12000001,North East,region,2021-11-08,10.2
E12000001,North East,region,2021-11-07,10.3
E12000001,North East,region,2021-11-06,10.6
E12000001,North East,region,2021-11-05,10.8
E12000001,North East,region,2021-11-04,11.2
E12000001,North East,region,2021-11-03,11.6
E12000001,North East,region,2021-11-02,11.9
E12000001,North East,region,2021-11-01,12.2
E12000001,North East,region,2021-10-31,12.1
E12000001,North East,region,2021-10-30,12.0
E12000001,North East,region,2021-10-29,11.9
E12000001,North East,region,2021-10-28,11.7
E12000001,North East,region,2021-10-27,11.5
E12000001,North East,region,2021-10-26,11.3
E12000001,North East,region,2021-10-25,11.2
E12000001,North East,region,2021-10-24,11.1
E12000001,North East,region,2021-10-23,11.1
E12000001,North East,region,2021-10-22,11.2
E12000001,North East,region,2021-10-21,11.2
E12000001,North East,region,2021-10-20,11.2
E12000001,North East,region,2021-10-19,11.1
E12000001,North East,region,2021-10-18,11.0
E12000001,North East,region,2021-10-17,10.6
E12000001,North East,region,2021-10-16,10.5
E12000001,North East,region,2021-10-15,10.4
E12000001,North East,region,2021-10-14,10.4
E12000001,North East,region,2021-10-13,10.2
E12000001,North East,region,2021-10-12,10.0
E12000001,North East,region,2021-10-11,9.8
E12000001,North East,region,2021-10-10,9.6
E12000001,North East,region,2021-10-09,9.4
E12000001,North East,region,2021-10-08,9.2
E12000001,North East,region,2021-10-07,9.0
E12000001,North East,region,2021-10-06,8.8
E12000001,North East,region,2021-10-05,8.6
E12000001,North East,region,2021-10-04,8.3
E12000001,North East,region,2021-10-03,8.0
E12000001,North East,region,2021-10-02,7.9
E12000001,North East,region,2021-10-01,8.0
E12000001,North East,region,2021-09-30,8.2
E12000001,North East,region,2021-09-29,8.3
E12000001,North East,region,2021-09-28,8.3
E12000001,North East,region,2021-09-27,8.5
E12000001,North East,region,2021-09-26,8.4
E12000001,North East,region,2021-09-25,8.5
E12000001,North East,region,2021-09-24,8.5
E12000001,North East,region,2021-09-23,8.6
E12000001,North East,region,2021-09-22,8.5
E12000001,North East,region,2021-09-21,8.6
E12000001,North East,region,2021-09-20,8.4
E12000001,North East,region,2021-09-19,8.3
E12000001,North East,region,2021-09-18,8.2
E12000001,North East,region,2021-09-17,8.2
E12000001,North East,region,2021-09-16,8.4
E12000001,North East,region,2021-09-15,8.6
E12000001,North East,region,2021-09-14,8.9
E12000001,North East,region,2021-09-13,9.3
E12000001,North East,region,2021-09-12,9.6
E12000001,North East,region,2021-09-11,10.0
E12000001,North East,region,2021-09-10,10.4
E12000001,North East,region,2021-09-09,10.6
E12000001,North East,region,2021-09-08,10.7
E12000001,North East,region,2021-09-07,10.6
E12000001,North East,region,2021-09-06,10.5
E12000001,North East,region,2021-09-05,10.4
E12000001,North East,region,2021-09-04,10.2
E12000001,North East,region,2021-09-03,10.0
E12000001,North East,region,2021-09-02,10.0
E12000001,North East,region,2021-09-01,10.0
E12000001,North East,region,2021-08-31,10.1
E12000001,North East,region,2021-08-30,10.0
E12000001,North East,region,2021-08-29,9.7
E12000001,North East,region,2021-08-28,9.7
E12000001,North East,region,2021-08-27,9.8
E12000001,North East,region,2021-08-26,9.7
E12000001,North East,region,2021-08-25,9.7
E12000001,North East,region,2021-08-24,9.6
E12000001,North East,region,2021-08-23,9.3
E12000001,North East,region,2021-08-22,9.2
E12000001,North East,region,2021-08-21,9.0
E12000001,North East,region,2021-08-20,9.0
E12000001,North East,region,2021-08-19,9.1
E12000001,North East,region,2021-08-18,9.0
E12000001,North East,region,2021-08-17,8.9
E12000001,North East,region,2021-08-16,9.0
E12000001,North East,region,2021-08-15,8.8
E12000001,North East,region,2021-08-14,8.8
E12000001,North East,region,2021-08-13,8.8
E12000001,North East,region,2021-08-12,8.9
E12000001,North East,region,2021-08-11,9.1
E12000001,North East,region,2021-08-10,9.2
E12000001,North East,region,2021-08-09,9.2
E12000001,North East,region,2021-08-08,9.2
E12000001,North East,region,2021-08-07,9.2
E12000001,North East,region,2021-08-06,9.2
E12000001,North East,region,2021-08-05,9.4
E12000001,North East,region,2021-08-04,9.5
E12000001,North East,region,2021-08-03,9.5
E12000001,North East,region,2021-08-02,9.8
E12000001,North East,region,2021-08-01,10.0
E12000001,North East,region,2021-07-31,10.3
E12000001,North East,region,2021-07-30,10.8
E12000001,North East,region,2021-07-29,11.2
E12000001,North East,region,2021-07-28,11.7
E12000001,North East,region,2021-07-27,12.2
E12000001,North East,region,2021-07-26,12.8
E12000001,North East,region,2021-07-25,13.7
E12000001,North East,region,2021-07-24,14.3
E12000001,North East,region,2021-07-23,15.0
E12000001,North East,region,2021-07-22,16.1
E12000001,North East,region,2021-07-21,17.3
E12000001,North East,region,2021-07-20,17.9
E12000001,North East,region,2021-07-19,18.2
E12000001,North East,region,2021-07-18,18.0
E12000001,North East,region,2021-07-17,18.2
E12000001,North East,region,2021-07-16,18.1
E12000001,North East,region,2021-07-15,17.7
E12000001,North East,region,2021-07-14,17.0
E12000001,North East,region,2021-07-13,16.7
E12000001,North East,region,2021-07-12,16.1
E12000001,North East,region,2021-07-11,15.4
E12000001,North East,region,2021-07-10,15.0
E12000001,North East,region,2021-07-09,14.7
E12000001,North East,region,2021-07-08,14.3
E12000001,North East,region,2021-07-07,13.8
E12000001,North East,region,2021-07-06,13.1
E12000001,North East,region,2021-07-05,12.6
E12000001,North East,region,2021-07-04,12.0
E12000001,North East,region,2021-07-03,11.6
E12000001,North East,region,2021-07-02,11.2
